$ hadoop MaxTemperature file:///home/ec2-user/ncdc_data file:///home/ec2-user/output
16/10/11 12:00:23 INFO client.RMProxy: Connecting to ResourceManager at /0.0.0.0:8032
16/10/11 12:00:24 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
16/10/11 12:00:24 INFO input.FileInputFormat: Total input paths to process : 100
16/10/11 12:00:24 INFO mapreduce.JobSubmitter: number of splits:100
16/10/11 12:00:25 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1476166374694_0002
16/10/11 12:00:25 INFO impl.YarnClientImpl: Submitted application application_1476166374694_0002
16/10/11 12:00:25 INFO mapreduce.Job: The url to track the job: http://ip-10-0-1-201:8088/proxy/application_1476166374694_0002/
16/10/11 12:00:25 INFO mapreduce.Job: Running job: job_1476166374694_0002
16/10/11 12:00:32 INFO mapreduce.Job: Job job_1476166374694_0002 running in uber mode : false
16/10/11 12:32:39 INFO mapreduce.Job:  map 58% reduce 18%
16/10/11 12:32:41 INFO mapreduce.Job:  map 58% reduce 19%
16/10/11 12:32:48 INFO mapreduce.Job:  map 59% reduce 19%
16/10/11 12:32:52 INFO mapreduce.Job:  map 60% reduce 19%
16/10/11 12:32:53 INFO mapreduce.Job:  map 60% reduce 20%
16/10/11 12:32:54 INFO mapreduce.Job:  map 61% reduce 20%
16/10/11 12:32:55 INFO mapreduce.Job:  map 62% reduce 20%
16/10/11 12:32:59 INFO mapreduce.Job:  map 63% reduce 21%
16/10/11 12:33:03 INFO mapreduce.Job:  map 64% reduce 21%
16/10/11 12:33:09 INFO mapreduce.Job:  map 65% reduce 21%
16/10/11 12:33:10 INFO mapreduce.Job:  map 66% reduce 21%
16/10/11 12:33:11 INFO mapreduce.Job:  map 67% reduce 21%
16/10/11 12:33:14 INFO mapreduce.Job:  map 68% reduce 22%
16/10/11 12:33:17 INFO mapreduce.Job:  map 68% reduce 23%
16/10/11 12:33:19 INFO mapreduce.Job:  map 69% reduce 23%
16/10/11 12:33:21 INFO mapreduce.Job:  map 71% reduce 23%
16/10/11 12:33:22 INFO mapreduce.Job:  map 72% reduce 23%
16/10/11 12:33:23 INFO mapreduce.Job:  map 73% reduce 24%
16/10/11 12:33:28 INFO mapreduce.Job:  map 74% reduce 24%
16/10/11 12:33:31 INFO mapreduce.Job:  map 76% reduce 24%
16/10/11 12:33:32 INFO mapreduce.Job:  map 78% reduce 25%
16/10/11 12:33:35 INFO mapreduce.Job:  map 78% reduce 26%
16/10/11 12:33:37 INFO mapreduce.Job:  map 79% reduce 26%
16/10/11 12:33:39 INFO mapreduce.Job:  map 80% reduce 26%
16/10/11 12:33:41 INFO mapreduce.Job:  map 81% reduce 27%
16/10/11 12:33:42 INFO mapreduce.Job:  map 83% reduce 27%
16/10/11 12:33:44 INFO mapreduce.Job:  map 83% reduce 28%
16/10/11 12:33:46 INFO mapreduce.Job:  map 84% reduce 28%
16/10/11 12:33:50 INFO mapreduce.Job:  map 85% reduce 28%
16/10/11 12:33:51 INFO mapreduce.Job:  map 87% reduce 28%
16/10/11 12:33:52 INFO mapreduce.Job:  map 88% reduce 28%
16/10/11 12:33:53 INFO mapreduce.Job:  map 88% reduce 29%
16/10/11 12:33:55 INFO mapreduce.Job:  map 89% reduce 29%
16/10/11 12:33:58 INFO mapreduce.Job:  map 90% reduce 29%
16/10/11 12:33:59 INFO mapreduce.Job:  map 90% reduce 30%
16/10/11 12:34:00 INFO mapreduce.Job:  map 91% reduce 30%
16/10/11 12:34:02 INFO mapreduce.Job:  map 92% reduce 31%
16/10/11 12:34:03 INFO mapreduce.Job:  map 93% reduce 31%
16/10/11 12:34:05 INFO mapreduce.Job:  map 94% reduce 31%
16/10/11 12:34:08 INFO mapreduce.Job:  map 95% reduce 32%
16/10/11 12:34:10 INFO mapreduce.Job:  map 96% reduce 32%
16/10/11 12:34:12 INFO mapreduce.Job:  map 97% reduce 32%
16/10/11 12:34:13 INFO mapreduce.Job:  map 98% reduce 32%
16/10/11 12:34:14 INFO mapreduce.Job:  map 99% reduce 33%
16/10/11 12:34:15 INFO mapreduce.Job:  map 100% reduce 33%
16/10/11 12:36:29 INFO mapreduce.Job:  map 100% reduce 35%
16/10/11 12:36:32 INFO mapreduce.Job:  map 100% reduce 36%
16/10/11 12:36:35 INFO mapreduce.Job:  map 100% reduce 37%
16/10/11 12:36:38 INFO mapreduce.Job:  map 100% reduce 38%
16/10/11 12:36:41 INFO mapreduce.Job:  map 100% reduce 40%
16/10/11 12:36:44 INFO mapreduce.Job:  map 100% reduce 41%
16/10/11 12:36:47 INFO mapreduce.Job:  map 100% reduce 42%
16/10/11 12:36:50 INFO mapreduce.Job:  map 100% reduce 43%
16/10/11 12:36:53 INFO mapreduce.Job:  map 100% reduce 44%
16/10/11 12:36:56 INFO mapreduce.Job:  map 100% reduce 46%
16/10/11 12:36:59 INFO mapreduce.Job:  map 100% reduce 47%
16/10/11 12:37:02 INFO mapreduce.Job:  map 100% reduce 48%
16/10/11 12:37:05 INFO mapreduce.Job:  map 100% reduce 49%
16/10/11 12:37:08 INFO mapreduce.Job:  map 100% reduce 50%
16/10/11 12:37:17 INFO mapreduce.Job:  map 100% reduce 51%
16/10/11 12:37:20 INFO mapreduce.Job:  map 100% reduce 52%
16/10/11 12:37:23 INFO mapreduce.Job:  map 100% reduce 53%
16/10/11 12:37:26 INFO mapreduce.Job:  map 100% reduce 54%
16/10/11 12:37:29 INFO mapreduce.Job:  map 100% reduce 56%
16/10/11 12:37:32 INFO mapreduce.Job:  map 100% reduce 57%
16/10/11 12:37:35 INFO mapreduce.Job:  map 100% reduce 58%
16/10/11 12:37:38 INFO mapreduce.Job:  map 100% reduce 59%
16/10/11 12:37:41 INFO mapreduce.Job:  map 100% reduce 60%
16/10/11 12:37:44 INFO mapreduce.Job:  map 100% reduce 62%
16/10/11 12:37:53 INFO mapreduce.Job:  map 100% reduce 63%
16/10/11 12:37:56 INFO mapreduce.Job:  map 100% reduce 64%
16/10/11 12:37:59 INFO mapreduce.Job:  map 100% reduce 65%
16/10/11 12:38:02 INFO mapreduce.Job:  map 100% reduce 67%
16/10/11 12:38:17 INFO mapreduce.Job:  map 100% reduce 68%
16/10/11 12:38:35 INFO mapreduce.Job:  map 100% reduce 69%
16/10/11 12:38:50 INFO mapreduce.Job:  map 100% reduce 70%
16/10/11 12:39:05 INFO mapreduce.Job:  map 100% reduce 71%
16/10/11 12:39:23 INFO mapreduce.Job:  map 100% reduce 72%
16/10/11 12:39:38 INFO mapreduce.Job:  map 100% reduce 73%
16/10/11 12:39:56 INFO mapreduce.Job:  map 100% reduce 74%
